BlockNumber,StreetName,helper,State,City,Street_Address,Full_St_Address
2100.0,"ARLINGTON BLVD, 542",keep,Virginia,Charlottesville,2100 ARLINGTON BLVD,"2100 ARLINGTON BLVD, CHARLOTTESVILLE, VA"
1800.0,"JEFFERSON PARK AVE, 40",keep,Virginia,Charlottesville,1800 JEFFERSON PARK AVE,"1800 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
300.0,"7 1/2 ST SW, A&B",keep,Virginia,Charlottesville,300 7 1/2 ST SW,"300 7 1/2 ST SW, CHARLOTTESVILLE, VA"
nan,BAILEY RD / ORANGEDALE AVE,drop,Virginia,Charlottesville,BAILEY RD / ORANGEDALE AVE,"BAILEY RD / ORANGEDALE AVE, CHARLOTTESVILLE, VA"
2300.0,"WAYNE AVE, A",keep,Virginia,Charlottesville,2300 WAYNE AVE,"2300 WAYNE AVE, CHARLOTTESVILLE, VA"
1200.0,"WERTLAND ST, 121",keep,Virginia,Charlottesville,1200 WERTLAND ST,"1200 WERTLAND ST, CHARLOTTESVILLE, VA"
500.0,"16TH ST NW, 7",keep,Virginia,Charlottesville,500 16TH ST NW,"500 16TH ST NW, CHARLOTTESVILLE, VA"
nan,W MAIN ST / 14TH ST NW,drop,Virginia,Charlottesville,W MAIN ST / 14TH ST NW,"W MAIN ST / 14TH ST NW, CHARLOTTESVILLE, VA"
nan,1ST ST S @ OAK ST,intersection,Virginia,Charlottesville,1ST ST S @ OAK ST,"1ST ST S @ OAK ST, CHARLOTTESVILLE, VA"
300.0,"7 1/2 ST SW, A",keep,Virginia,Charlottesville,300 7 1/2 ST SW,"300 7 1/2 ST SW, CHARLOTTESVILLE, VA"
1000.0,"COLEMAN ST, A",keep,Virginia,Charlottesville,1000 COLEMAN ST,"1000 COLEMAN ST, CHARLOTTESVILLE, VA"
700.0,CASTALIA ST,keep,Virginia,Charlottesville,700 CASTALIA ST,"700 CASTALIA ST, CHARLOTTESVILLE, VA"
400.0,13TH ST NE ST,keep,Virginia,Charlottesville,400 13TH ST NE ST,"400 13TH ST NE ST, CHARLOTTESVILLE, VA"
